source,model,B,K,theta_a,theta_b,true_delta,m1_pt,m3_pt,m3_lo,m3_hi,m4_pt,m4_lo,m4_hi,m5_pt,m5_lo,m5_hi,m6_pt,m6_lo,m6_hi,m7_pt,m7_lo,m7_hi,system_b,m3_cov_a,m4_cov_a,m5_cov_a,m6_cov_a,m7_cov_a,m1_dir_wrong
DSPy RS,Yi-1.5-6B,500000,6,0.1611788519070111,0.19584332533972823,-0.03466447343271714,0.19584332533972823,0.19584332533972823,0.1738519627408251,0.21783468793863137,0.17731629392971246,0.14737249944539405,0.20726008841403087,0.19600638977635781,0.18942311479830481,0.20258966475441081,0.16155398935773652,0.14521518170461117,0.17793076827325532,0.16155398935773652,0.14470599240990473,0.17831555102615884,0.19584332533972823,False,True,False,True,True,False
DSPy RS,Yi-1.5-6B,1500000,6,0.19309972825186533,0.19584332533972823,-0.002743597087862898,0.21422861710631494,0.21422861710631494,0.19149260652273942,0.23696462768989046,0.19808306709265175,0.16683634746039683,0.22932978672490667,0.21054313099041533,0.2043789749734041,0.21670728700742656,0.1928881972451672,0.1749229320115668,0.21113647708673658,0.1928881972451672,0.1741555600160909,0.2105787255856156,0.19584332533972823,True,True,False,True,True,True
DSPy RS,Yi-1.5-6B,3000000,6,0.19307591314681377,0.19584332533972823,-0.002767412192914459,0.21103117505995203,0.21103117505995203,0.1884196087765407,0.23364274134336335,0.19329073482428116,0.16233222102431275,0.22424924862424958,0.2049520766773163,0.19994151367380636,0.20996263968082624,0.19361014032191684,0.1758037304447189,0.2115464857139682,0.19361014032191684,0.17559865998967636,0.21161927335292624,0.19584332533972823,True,True,False,True,True,True
DSPy RS,Yi-1.5-6B,6500000,6,0.1932011147940569,0.19584332533972823,-0.0026422105456713196,0.20783373301358912,0.20783373301358912,0.1853486959363718,0.23031877009080645,0.1964856230031949,0.16533417219682128,0.2276370738095685,0.20175718849840257,0.19663058009421824,0.2068837969025869,0.19411029863271984,0.17645801998942603,0.21218951335552838,0.19411029863271984,0.17606678416436977,0.2121794506468976,0.19584332533972823,True,True,False,True,True,True
DSPy RS,Qwen2-7B,500000,6,0.25791339393972273,0.2573940847322142,0.0005193092075085337,0.26458832933653076,0.26458832933653076,0.24014400613089806,0.2890326525421634,0.21725239616613418,0.18492213419704576,0.2495826581352226,0.25303514376996805,0.24089917289255655,0.2651711146473796,0.25602200824668137,0.23468359715274098,0.27797212568883056,0.25602200824668137,0.23134076777407067,0.27732469303012103,0.2573940847322142,True,False,True,True,True,False
DSPy RS,Qwen2-7B,1500000,6,0.26204328736203913,0.2573940847322142,0.004649202629824933,0.266986410871303,0.266986410871303,0.2424716304257385,0.29150119131686747,0.23961661341853036,0.2061516129544546,0.2730816138826061,0.2579872204472844,0.24752530750308532,0.26844913339148346,0.26044719080217005,0.23834772229072698,0.28314409524777867,0.26044719080217005,0.23652096837955947,0.2819616808816095,0.2573940847322142,True,True,True,True,True,False
DSPy RS,Qwen2-7B,3000000,6,0.26419860260002664,0.2573940847322142,0.006804517867812443,0.26938449240607515,0.26938449240607515,0.2448001749606852,0.29396880985146506,0.23961661341853036,0.2061516129544546,0.2730816138826061,0.25878594249201275,0.2501543975865505,0.267417487397475,0.2632568548030804,0.24143909853393064,0.2862842473250721,0.2632568548030804,0.23897982568845533,0.2851045027900431,0.2573940847322142,True,True,True,True,True,False
DSPy RS,Qwen2-7B,6500000,6,0.26259219080010016,0.2573940847322142,0.005198106067885955,0.2685851318944844,0.2685851318944844,0.24402389168473693,0.2931463721042319,0.23961661341853036,0.2061516129544546,0.2730816138826061,0.2592651757188499,0.2501578140043035,0.2683725374333963,0.260963450573532,0.23863908198160552,0.28314846668948457,0.260963450573532,0.23662794909160823,0.2826375402599161,0.2573940847322142,True,True,True,True,True,False
DSPy RS,Qwen2.5-3B,500000,6,0.2828150415165061,0.24860111910471622,0.03421392241178989,0.32214228617106316,0.32214228617106316,0.29624700946810567,0.34803756287402066,0.3035143769968051,0.26746798721342463,0.3395607667801856,0.30575079872204475,0.29787712038194514,0.31362447706214436,0.27756900159424486,0.2575698012541986,0.2970247404654989,0.27756900159424486,0.25671911713736906,0.2978709439229348,0.24860111910471622,False,True,False,True,True,False
DSPy RS,Qwen2.5-3B,1500000,6,0.29022581489608823,0.24860111910471622,0.04162469579137201,0.32533972821742607,0.32533972821742607,0.299377704953577,0.3513017514812751,0.31150159744408945,0.27519398673907863,0.34780920814910027,0.3156549520766773,0.3078062141804218,0.32350368997293283,0.28406507003651804,0.2643839034048754,0.30483821973102326,0.28406507003651804,0.262412644363328,0.30421335162501356,0.24860111910471622,False,True,False,True,True,False
